,random_100,health_languagearts_100,languagearts_health_100,random_200,health_languagearts_200,languagearts_health_200,random_300,health_languagearts_300,languagearts_health_300
0,0.333333333,0.219512195,0.219512195,0.384083045,0.298701299,0.253918495,0.405152225,0.351351351,0.265822785
1,0.315789474,0.298701299,0.219512195,0.379310345,0.324503311,0.298701299,0.382488479,0.336302895,0.318681319
2,0.398601399,0.315789474,0.265822785,0.418439716,0.360544218,0.27388535,0.428571429,0.357466063,0.287553648
3,0.333333333,0.242236025,0.212121212,0.408450704,0.290322581,0.277955272,0.435406699,0.324503311,0.282051282
4,0.298701299,0.324503311,0.19047619,0.360544218,0.324503311,0.253918495,0.354401806,0.354401806,0.279317697
5,0.398601399,0.19760479,0.282051282,0.413427562,0.26984127,0.302931596,0.411764706,0.304347826,0.324503311
6,0.398601399,0.290322581,0.242236025,0.379310345,0.324503311,0.302931596,0.418439716,0.327433628,0.33037694
7,0.379310345,0.234567901,0.242236025,0.403508772,0.290322581,0.307189542,0.418439716,0.33037694,0.318681319
8,0.369863014,0.234567901,0.234567901,0.384083045,0.298701299,0.307189542,0.41509434,0.324503311,0.321585903
9,0.333333333,0.282051282,0.27388535,0.388888889,0.324503311,0.351351351,0.411764706,0.34529148,0.342281879
10,0.418439716,0.27388535,0.324503311,0.444043321,0.286173633,0.342281879,0.442307692,0.318681319,0.339285714
11,0.398601399,0.25,0.25,0.413427562,0.315789474,0.315789474,0.392111369,0.33037694,0.348314607
12,0.379310345,0.234567901,0.226993865,0.418439716,0.307189542,0.253918495,0.431980907,0.327433628,0.279317697
13,0.333333333,0.265822785,0.265822785,0.418439716,0.320132013,0.307189542,0.421800948,0.336302895,0.327433628
14,0.324503311,0.282051282,0.234567901,0.418439716,0.282051282,0.27388535,0.395348837,0.312910284,0.298701299
15,0.369863014,0.333333333,0.25,0.449275362,0.328903654,0.286173633,0.477832512,0.342281879,0.307189542
16,0.290322581,0.176470588,0.212121212,0.398601399,0.277955272,0.261829653,0.411764706,0.301518438,0.282051282
17,0.307189542,0.226993865,0.298701299,0.374570447,0.302931596,0.324503311,0.379310345,0.307189542,0.33037694
18,0.379310345,0.219512195,0.169590643,0.398601399,0.286173633,0.27388535,0.41509434,0.315789474,0.287553648
19,0.342281879,0.27388535,0.265822785,0.384083045,0.290322581,0.315789474,0.401869159,0.324503311,0.342281879
20,0.351351351,0.265822785,0.219512195,0.388888889,0.31147541,0.27388535,0.405152225,0.307189542,0.298701299
21,0.379310345,0.25,0.212121212,0.418439716,0.302931596,0.307189542,0.466992665,0.360544218,0.318681319
22,0.360544218,0.27388535,0.219512195,0.413427562,0.31147541,0.25,0.428571429,0.33037694,0.276595745
23,0.369863014,0.25,0.27388535,0.398601399,0.290322581,0.307189542,0.398601399,0.312910284,0.318681319
24,0.298701299,0.242236025,0.290322581,0.384083045,0.265822785,0.333333333,0.398601399,0.321585903,0.34529148
25,0.307189542,0.265822785,0.234567901,0.408450704,0.324503311,0.286173633,0.385681293,0.351351351,0.282051282
26,0.388888889,0.242236025,0.265822785,0.423487544,0.302931596,0.294498382,0.449275362,0.327433628,0.301518438
27,0.369863014,0.226993865,0.27388535,0.418439716,0.26984127,0.277955272,0.431980907,0.27388535,0.287553648
28,0.315789474,0.169590643,0.234567901,0.342281879,0.234567901,0.277955272,0.327433628,0.27388535,0.276595745
29,0.360544218,0.315789474,0.265822785,0.423487544,0.374570447,0.286173633,0.408450704,0.401869159,0.315789474
30,0.290322581,0.219512195,0.27388535,0.337792642,0.302931596,0.286173633,0.360544218,0.33037694,0.301518438
31,0.408450704,0.204819277,0.257861635,0.403508772,0.26984127,0.286173633,0.421800948,0.307189542,0.307189542
32,0.428571429,0.342281879,0.257861635,0.444043321,0.337792642,0.302931596,0.435406699,0.357466063,0.348314607
33,0.379310345,0.351351351,0.176470588,0.418439716,0.369863014,0.246105919,0.408450704,0.372997712,0.284796574
34,0.342281879,0.25,0.25,0.379310345,0.328903654,0.315789474,0.376146789,0.336302895,0.324503311
35,0.379310345,0.265822785,0.219512195,0.470588235,0.307189542,0.242236025,0.463414634,0.354401806,0.282051282
36,0.369863014,0.27388535,0.219512195,0.408450704,0.320132013,0.27388535,0.41509434,0.304347826,0.293103448
37,0.418439716,0.234567901,0.226993865,0.393728223,0.307189542,0.27388535,0.431980907,0.312910284,0.301518438
38,0.333333333,0.242236025,0.257861635,0.433691756,0.324503311,0.298701299,0.428571429,0.34529148,0.318681319
39,0.369863014,0.25,0.234567901,0.369863014,0.294498382,0.265822785,0.418439716,0.324503311,0.27388535
40,0.351351351,0.257861635,0.333333333,0.423487544,0.320132013,0.337792642,0.421800948,0.312910284,0.372997712
41,0.388888889,0.298701299,0.342281879,0.438848921,0.337792642,0.365187713,0.428571429,0.357466063,0.376146789
42,0.398601399,0.25,0.282051282,0.423487544,0.286173633,0.315789474,0.405152225,0.33037694,0.295896328
43,0.388888889,0.226993865,0.234567901,0.398601399,0.261829653,0.307189542,0.41509434,0.284796574,0.324503311
44,0.369863014,0.219512195,0.242236025,0.418439716,0.27388535,0.324503311,0.418439716,0.310043668,0.307189542
45,0.369863014,0.25,0.242236025,0.398601399,0.315789474,0.265822785,0.41509434,0.336302895,0.263157895
46,0.351351351,0.25,0.234567901,0.388888889,0.298701299,0.294498382,0.41509434,0.321585903,0.336302895
47,0.379310345,0.282051282,0.25,0.444043321,0.298701299,0.298701299,0.438848921,0.321585903,0.307189542
48,0.351351351,0.242236025,0.219512195,0.418439716,0.286173633,0.265822785,0.449275362,0.321585903,0.304347826
49,0.408450704,0.212121212,0.27388535,0.423487544,0.277955272,0.27388535,0.425178147,0.293103448,0.301518438
