,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Ordering,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,First,Random,,Vehicle,3040,,Dinnerware,2960,,Vehicle,3000,,Vehicle,1500,,Vehicle,3040,,Dinnerware,2960,,Dinnerware,2960,,Vehicle,3040
,,Second,Random,,Dinnerware,2960,,Vehicle,3040,,Dinnerware,1500,,Dinnerware,2960,,Dinnerware,100,,Vehicle,100,,Vehicle,50,,Dinnerware,50
,,,,,,,,,,,,,,,,,,,,,,,Run 1,Run 2,,Run 1,Run 2
,,Closest of First,2992,,1263,,,1288,,,2568,,,1598,,,984,,,2810,,,2168,2162,,336,328
,,Closest to Second,3008,,4737,,,4712,,,3432,,,4402,,,5016,,,7190,,,7832,7838,,9664,9672
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Prop closest to first,0.4986,,0.2105,,,0.2147,,,0.428,,,0.2663,,,0.164,,,0.281,,,0.2168,0.2162,,0.0336,0.0328
,,Prop closest to second,0.5013,,0.7895,,,0.7853,,,0.572,,,0.7333,,,0.836,,,0.719,,,0.7832,0.7838,,0.9664,0.9672
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,First,Random,,Vehicle,1981,,Dinnerware,1980,,News,2039,,Vehicle,1981,,Dinnerware,1980,,News,2039,,Vehicle,100,,,
,,Second,Random,,Dinnerware,1980,,News,2039,,Vehicle,1981,,Dinnerware,1980,,News,2039,,Vehicle,1981,,Dinnerware,1980,,,
,,Third,Random,,News,2039,,Vehicle,1981,,Dinnerware,1980,,News,500,,Vehicle,500,,Dinnerware,500,,News,2039,,,
,,,,,,,,,,,,,,Run 1,,,,,,,,,,,,,
,,Closest of First,3423,,1227,,,1199,,,1114,,,2253,,,2713,,,2466,,,,,,,
,,Closest to Second,3337,,2057,,,1985,,,1981,,,1822,,,1725,,,1739,,,,,,,
,,Closest to Third,3240,,6716,,,6816,,,6905,,,5925,,,5562,,,5795,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Prop Closest of First,0.3423,,0.1227,,,0.1199,,,0.1114,,,0.2253,,,0.2713,,,0.2466,,,,,,,
,,Prop closest to second,0.3337,,0.2057,,,0.1985,,,0.1981,,,0.1822,,,0.1725,,,0.1739,,,,,,,
,,Prop Closest to Third,0.324,,0.6716,,,0.6816,,,0.6905,,,0.5925,,,0.5562,,,0.5795,,,,,,,
